poin Momota;poin Axelsen;Nama;rally;type;Banyak pukulan
;;Axelsen;3;Lob(A);9
;;Momota;3;Lob(M);10
;;Axelsen;3;Drive(A);11
;;Momota;3;Netting(M);12
;;Axelsen;3;Lob(A);13
3;0;Momota;3;Smash(M);14
;;Axelsen;4;Lob(A);1
;;Momota;4;Lob(M);2
3;1;Axelsen;4;Smash(A);3
;;Momota;5;Netting(M);1
;;Axelsen;5;Lob(A);2
;;Momota;5;Lob(M);3
3;2;Axelsen;5;Smash(A);4
;;Momota;5;Lob(M);1
;;Axelsen;5;Lob(A);2
;;Momota;5;Drive(M);3
;;Axelsen;5;Drive(A);4
;;Momota;5;Smash(M);5
;;Axelsen;5;Drive(A);6
;;Momota;5;Drive(M);7
;;Axelsen;5;Lob(A);8
4;2;Momota;5;Smash(M);9
;;Axelsen;6;Lob(A);1
;;Momota;6;Lob(M);2
;;Axelsen;6;Smash(A);3
;;Momota;6;Netting(M);4
;;Axelsen;6;Netting(A);5
;;Momota;6;Lob(M);6
4;3;Axelsen;6;Smash(A);7
;;Momota;7;Netting(M);1
;;Axelsen;7;Lob(A);2
;;Momota;7;Smash(M);3
;;Axelsen;7;Netting(A);4
;;Momota;7;Netting(M);5
;;Axelsen;7;Lob(A);6
;;Momota;7;Smash(M);7
;;Axelsen;7;Netting(A);8
;;Momota;7;Lob(M);9
;;Axelsen;7;Netting(A);10
;;Momota;7;Drive(M);11
;;Axelsen;7;Drive(A);12
;;Momota;7;Drive(M);13
;;Axelsen;7;Netting(A);14
;;Momota;7;Lob(M);15
;;Axelsen;7;Smash(A);16
;;Momota;7;Netting(M);17
;;Axelsen;7;Netting(A);18
;;Momota;7;Lob(M);19
;;Axelsen;7;Smash(A);20
;;Momota;7;Netting(M);21
;;Axelsen;7;Lob(A);22
4;4;Momota;7;Smash(M);23
;;Axelsen;8;Lob(A);1
;;Momota;8;Smash(M);2
;;Axelsen;8;Netting(A);3
;;Momota;8;Netting(M);4
;;Axelsen;8;Lob(A);5
5;4;Momota;8;Smash(M);6
;;Axelsen;9;Lob(A);1
;;Momota;9;Netting(M);2
;;Axelsen;9;Netting(A);3
;;Momota;9;Netting(M);4
;;Axelsen;9;Lob(A);5
;;Momota;9;Smash(M);6
;;Axelsen;9;Lob(A);7
;;Momota;9;Smash(M);8
;;Axelsen;9;Netting(A);9
;;Momota;9;Lob(M);10
;;Axelsen;9;Smash(A);11
;;Momota;9;Netting(M);12
;;Axelsen;9;Lob(A);13
;;Momota;9;Lob(M);14
;;Axelsen;9;Dropshot(A);15
5;5;Momota;9;Netting(M);16
;;Axelsen;10;Lob(A);1
;;Momota;10;Smash(M);2
;;Axelsen;10;Netting(A);3
5;6;Momota;10;Lob(M);4
;;Momota;11;Dropshot(M);1
;;Axelsen;11;Netting(A);2
;;Momota;11;Lob(M);3
;;Axelsen;11;Smash(A);4
;;Momota;11;Netting(M);5
;;Axelsen;11;Lob(A);6
;;Momota;11;Lob(M);7
;;Axelsen;11;Lob(A);8
;;Momota;11;Lob(M);9
;;Axelsen;11;Netting(A);10
;;Momota;11;Lob(M);11
;;Axelsen;11;Lob(A);12
5;7;Momota;11;Lob(M);13
;;Momota;12;Netting(M);1
;;Axelsen;12;Lob(A);2
;;Momota;12;Dropshot(M);3
;;Axelsen;12;Lob(A);4
;;Momota;12;Smash(M);5
;;Axelsen;12;Netting(A);6
;;Momota;12;Netting(M);7
;;Axelsen;12;Netting(A);8
;;Momota;12;Netting(M);9
;;Axelsen;12;Lob(A);10
;;Momota;12;Drive(M);11
;;Axelsen;12;Netting(A);12
;;Momota;12;Smash(M);13
;;Axelsen;12;Netting(A);14
;;Momota;12;Smash(M);15
;;Axelsen;12;Drive(A);16
;;Momota;12;Lob(M);17
;;Axelsen;12;Lob(A);18
;;Momota;12;Dropshot(M);19
6;7;Axelsen;12;Netting(A);20
;;Axelsen;13;Lob(A);1
;;Momota;13;Netting(M);2
6;8;Axelsen;13;Netting(A);3
;;Momota;14;Lob(M);1
7;8;Axelsen;14;Smash(A);2
;;Axelsen;15;Lob(A);1
;;Momota;15;Dropshot(M);2
;;Axelsen;15;Lob(A);3
;;Momota;15;Dropshot(M);4
;;Axelsen;15;Netting(A);5
;;Momota;15;Lob(M);6
;;Axelsen;15;Smash(A);7
;;Momota;15;Netting(M);8
;;Axelsen;15;Lob(A);9
;;Momota;15;Lob(M);10
8;8;Axelsen;15;Smash(A);11
;;Axelsen;16;Lob(A);1
9;8;Momota;16;Drive(M);2
;;Axelsen;17;Netting(A);1
;;Momota;17;Netting(M);2
10;8;Axelsen;17;Lob(A);3
;;Axelsen;18;Lob(A);1
